chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.35008812,1784.1658495387549,2002.4490601176958,3805.8396058403423,0.08304482066898686,-113.57065,121.57179,-19.168142,42.36642,-6.364664,18.623499,-13.704889,15.34315,-12.27411,10.976572,-8.326573,8.803792,-3.6723,5.747995,-5.162882,0.75273985,-1.6902146,-0.40897897,-2.3035226,1.2212901,blues
0.34091356,1530.1766787460797,2039.0365160924307,3550.5220984084976,0.05603980870552978,-207.5017,123.991264,8.955127,35.87765,2.9073198,21.510468,-8.560436,23.370686,-10.099661,11.900497,-5.555639,5.376327,-2.23176,4.2201405,-6.0121484,0.9279974,-0.7311248,0.29507306,-0.28351822,0.5312158,blues
0.3636372,1552.8118647610036,1747.7023116676025,3042.2602323810906,0.07629120746326373,-90.722595,140.4463,-29.09389,31.684334,-13.984504,25.764742,-13.664875,11.639934,-11.783642,9.7187605,-13.133803,5.791199,-8.907628,-1.077,-9.229274,2.4516895,-7.7290936,-1.816407,-3.4397204,-2.2312589,blues
0.4047847,1070.1066149971293,1596.412872177028,2184.7457991951856,0.03330886262567672,-199.5442,150.0909,5.6626782,26.85908,1.771399,14.234031,-4.8320065,9.286495,-0.7591865,8.137607,-3.200653,6.079319,-2.4801738,-1.0793046,-2.8707886,0.78087336,-3.3195965,0.6369653,-0.61912125,-3.407449,blues
0.30852604,1835.004265512071,1748.1721158264975,3579.757626703886,0.10146053871809745,-160.3377,126.219635,-35.58781,22.148071,-32.478603,10.852294,-23.352331,0.49843356,-11.793437,1.207255,-13.088418,-2.813867,-6.9333844,-7.5527253,-9.164666,-4.5205755,-5.454034,-0.9168737,-4.4048266,-11.703234,blues
0.3024563,1831.993939606849,1729.6532869429993,3481.5175917198376,0.09404153373936582,-177.77425,118.20548,-17.56588,30.762402,-21.747839,11.920995,-20.730993,3.1865778,-8.586039,-0.9328521,-11.772434,-2.4058323,-9.343665,-9.93621,-3.9039948,-5.57659,-1.8382632,-2.7837994,-3.047909,-8.109991,blues
0.29132798,1459.366471695765,1389.009131184951,2795.610963330191,0.07305223740815932,-190.05237,130.28908,-36.369534,33.029034,11.108782,-0.6055834,-20.871855,0.27302474,-6.4861393,-5.5167675,-7.8397517,-3.128592,-6.596197,-9.950378,-6.535177,-10.068052,-10.913176,-6.971336,-3.4365046,-6.4834657,blues
0.3079548,1451.6670658428172,1577.2709414206154,2954.836759987674,0.061442246108855375,-179.34714,136.46901,-26.673138,39.98425,5.304416,10.928612,-20.564827,8.511157,-11.357249,-3.4683466,-8.419937,-6.9497156,-3.5391388,-8.041617,-8.960674,-8.426084,-10.568935,-10.784514,-4.690677,-8.630722,blues
0.40887922,1719.3689480431458,2031.7403810025382,3782.316288428074,0.06402488761600927,-121.363945,122.50667,-14.738196,46.131065,-8.181879,20.182962,-19.173378,23.039139,-11.838223,21.16,-6.718366,6.9925423,-12.730596,5.0613246,-5.1832147,-1.4525597,-7.0418243,2.6952481,3.4123054,-2.7156928,blues
0.2739504,1817.15086312572,1973.7733063015248,3943.490565182715,0.07917482356921887,-213.23999,115.1656,-11.693431,39.014275,-20.341278,13.077605,-9.173518,9.011447,-14.100634,4.2659416,-6.046168,3.782207,0.2217994,-5.1093993,-0.41023037,-1.1799208,-1.9168043,-2.2926605,2.881967,-4.2352037,blues
0.30399328,1409.955255644953,1512.3102651538231,2765.9008052675463,0.06295882576856149,-173.7925,137.1867,-23.724049,26.978436,-16.657696,4.1808825,-12.55993,5.8321843,-2.8743188,-1.1974189,-1.9548353,1.8015007,-2.9896474,-1.8666562,-0.7927427,-3.0159667,-0.44005367,-1.9945513,-0.7484698,-4.991314,blues
0.36715207,1352.6596654421637,1756.7797951648831,2880.7778626196346,0.043930584759280744,-287.92374,124.01875,5.469892,33.65741,1.0954971,14.705335,-4.8770084,8.670525,0.78540504,6.579526,-4.874974,-3.1782238,-5.5361576,-6.7844357,-2.6481564,-2.9945593,-3.3868182,-1.8526473,1.8399631,-4.8908033,blues
0.26939112,1360.641197239507,1567.565225022178,2738.6387375833815,0.06909500676720805,-207.22331,132.83055,-15.4288435,60.970932,0.729872,12.437647,1.1827995,-1.5466231,-17.879436,8.352729,-2.458161,-0.60338485,0.38596085,2.5995464,-5.1792665,-9.523479,-9.242837,-2.8550277,-1.4271617,-5.931978,blues
0.2647128,1324.293218148101,1828.039254402738,2710.269200442285,0.0514017032820959,-209.82616,124.46322,10.342454,47.010914,6.5081253,15.410518,-2.0051074,6.7065654,-21.557632,10.718407,-5.5236883,-2.1998053,-3.0348647,8.644537,-0.3037208,-0.6379486,-2.9384263,-1.7045164,-1.7681892,-7.762181,blues
0.32903633,1171.8482269140325,1705.519298617154,2344.2463815073957,0.045036675850734724,-305.65472,113.08634,12.114428,45.03371,17.762825,14.573329,4.1594296,0.21354468,-7.0269957,13.641992,8.929174,1.3030064,5.961251,8.549222,1.1246064,0.60269314,0.054863006,-3.722265,-0.9949694,-1.8002894,blues
0.26969042,1420.3651651340072,1731.1642811796812,2929.964494815835,0.06370125495456304,-238.51553,120.110176,-4.2293587,42.2907,5.928563,13.917268,5.3578677,1.8955573,-16.936676,12.350621,3.9459798,-1.3935845,0.019285198,3.588397,-4.50091,-5.540558,-6.8874693,-4.8232512,1.7473668,-1.8821969,blues
0.30418554,1454.9639409755137,1825.7979596939135,3009.460817412268,0.06134406117072699,-233.7591,120.67514,-3.1748059,39.518482,3.8183367,18.837141,-3.6778173,4.4331384,-14.965527,17.578217,1.8418719,2.549422,-1.2331676,8.439486,-0.2018979,-3.8945017,-4.45685,0.009554126,1.2930309,-2.0980818,blues
0.302124,1088.8442297527454,1410.984259420963,2134.9929420134863,0.048326248912412995,-245.69937,140.49109,-2.7897542,60.431435,18.91905,9.829609,3.559146,0.5153717,-16.387682,6.627509,7.2592144,-4.014427,1.602121,5.8950095,-3.0214696,-4.773669,-3.0309892,-1.9940878,-0.046753615,-3.9712281,blues
0.2699323,1537.5876985238351,2054.529510695354,3495.51500643489,0.056141769987432324,-252.49301,104.93711,15.332313,42.66697,6.783058,21.605682,-1.2978408,5.6754074,-16.632635,12.173101,-1.9472849,1.9508444,-0.8903191,7.7705245,2.380243,1.7754058,1.3253621,3.609512,4.907691,-2.6554596,blues
0.2573248,1195.4703757774462,1481.3188804548577,2235.264725474913,0.05888603900812065,-236.65675,138.40926,-4.9129105,47.629177,5.1842003,8.876615,0.5138149,-3.804674,-14.988871,10.4170685,-0.33363807,0.77598476,1.7773185,4.2329874,-0.46784166,-6.1052146,-5.390519,-1.3412131,-3.723019,-4.364778,blues
0.3026116,1390.301557556794,1911.3145801760033,3006.1717163935614,0.05258634232405259,-230.35765,127.07833,7.1234465,39.7749,1.9210495,17.41178,-5.619415,8.249393,-18.116888,13.835064,-3.769932,2.5720189,-4.3183455,6.8063755,-6.1671014,-6.1987495,-4.5001836,-1.8223381,-0.5171002,1.5099173,blues
0.32110038,1046.5500105240203,1481.0580892453968,1830.330592463022,0.047907452387857694,-264.72256,138.86845,11.194063,48.50426,14.930757,20.580284,3.2070086,1.2489557,-15.846457,15.978459,3.369133,-1.5108066,1.9059253,6.32838,-0.9933917,-2.4194524,-3.6802154,0.49150068,5.041454,-0.7768496,blues
0.3065368,1155.781220867789,1497.964258762891,2169.033055847593,0.05856995903422274,-233.95625,136.1457,3.324411,48.92853,8.715444,13.966022,5.3665967,0.39953962,-13.469852,16.877718,5.1480913,-2.2498207,3.9479077,5.316488,0.810559,-1.1070809,-4.55648,-2.4307842,3.3248355,-0.6024475,blues
0.28082266,1209.9878628924062,1497.6915639530437,2521.741260785238,0.052467009860788866,-227.22534,137.78807,-14.499568,63.56093,5.6176677,11.958149,1.9079684,-1.8893869,-7.6042166,-2.4732885,-2.8910103,-9.433393,-10.929217,3.5694757,4.149801,0.08880908,-2.9859648,-1.386169,7.541378,-3.0357234,blues
0.26311222,1120.019466933193,1447.8898990912126,2323.820647839327,0.04727604770881671,-274.3658,130.41125,-6.3512874,70.403,13.269728,9.473776,7.7353296,-1.2349664,-0.57239014,-2.3033547,3.773516,0.075612314,-0.9389718,2.2962255,4.2941175,-1.6612144,-10.4394245,-6.793103,-1.0657778,-1.583887,blues
0.29095975,1109.3527843880802,1463.217701555025,2243.3417583562937,0.051697390999613305,-249.28456,131.00468,0.67143536,66.70395,17.914803,4.6216865,6.6131053,1.2425213,1.412567,-1.5898085,-0.9819215,-3.5757904,-2.9269552,4.600675,7.480606,-0.18753186,-2.8234692,-2.6753805,0.7406137,-0.53098303,blues
0.27837843,1198.459084542923,1573.5002754703678,2477.275945747535,0.05197268646075019,-284.8484,108.749565,9.129683,51.251316,18.123716,7.6327777,8.775374,2.3653817,0.019261053,2.2369275,4.190629,-3.304581,1.6140482,2.6918643,3.376128,3.2927868,-4.524483,0.49672043,5.921975,3.2145398,blues
0.28870735,1391.8419520071109,1494.9545749894319,2811.698414388776,0.07241441294470224,-228.16708,130.33966,-23.310709,70.20022,1.1293262,7.589114,0.90339565,1.9944433,-6.1588445,-9.380717,-2.563575,-4.5218472,-0.26998657,0.17045113,-1.5287304,1.467687,-6.9808435,-8.324485,4.2408886,0.99173737,blues
0.27615547,1115.728201941125,1399.0968254764116,2290.6465251595127,0.04801998743232792,-248.96225,139.03177,-16.240025,57.116196,20.192362,10.160373,4.576075,0.33792436,-7.862825,-3.470246,-2.648825,-2.8426704,-0.8947748,-2.4133794,2.5705976,-5.871001,-12.412888,-7.302001,-0.9235853,-2.6985795,blues
0.28035653,1648.8351694525163,2189.985865090857,3759.8921136347158,0.05289486961040216,-233.7151,101.19902,17.6509,23.740637,2.079885,25.938902,-16.969044,15.079571,-22.277378,4.385386,-23.19758,-6.0366454,-5.0570984,1.0690376,-5.7785144,-8.310136,-11.384393,-6.7234993,-10.013582,-14.02613,blues
0.26319388,1379.1893819362376,2004.2106632641949,3016.513649216937,0.039366118039443156,-206.93811,117.79184,23.264994,28.300047,-1.1022832,18.867184,-21.971611,17.848024,-25.590239,2.1351042,-17.777298,-8.0105915,-17.620142,-8.120075,-8.628885,-15.540495,-15.332039,-9.656509,-10.089768,-17.82688,blues
0.2535532,1330.7156174639017,1973.410537701726,2898.7888132613107,0.04294722484048724,-221.84349,110.852425,18.63755,30.92843,3.2962282,22.589956,-20.406555,12.122969,-26.330458,-4.354131,-26.383854,-13.032196,-12.655037,-1.8158433,-7.2590013,-6.6609855,-14.688093,-11.713449,-11.024652,-13.389859,blues
0.2762448,1309.3824080697561,1883.0429032287777,2763.1862560723607,0.03938839846771075,-288.7151,105.92636,18.81995,23.674461,5.700168,25.559086,-13.450494,12.429512,-11.961186,1.5895078,-15.62307,-6.638755,-11.685787,-2.935766,-7.378426,-15.693846,-10.9572935,-10.879779,-18.501955,-19.117844,blues
0.2606353,1430.4924328152892,2075.5012632225817,3245.4683874709976,0.04197368341550657,-238.9512,108.70544,34.145847,30.21115,-0.50258243,27.292957,-21.399483,14.171863,-24.51231,-1.8842658,-28.0575,-11.255747,-16.464361,-7.640693,-12.784872,-15.3524685,-13.7459,-7.4084854,-10.078316,-13.2909355,blues
0.2623638,1537.098020551204,2157.363048963345,3602.423279799884,0.04570244525812065,-217.15489,105.78446,15.606509,25.259819,-1.4457653,30.199512,-17.717384,17.318798,-27.218798,4.336658,-20.061996,-10.700786,-14.232641,-5.156592,-3.4814634,-6.1893525,-15.322095,-6.8323135,-9.825188,-13.940664,blues
0.28838482,1506.8728757224978,2096.6929727581996,3404.1862470091355,0.04541997474381284,-171.77327,120.29358,15.340433,21.107595,-5.385008,24.195364,-24.137547,18.544752,-22.348501,1.3194953,-20.763226,-4.981888,-17.108088,-7.879305,-15.300168,-9.34368,-8.911592,-8.5120125,-14.329957,-19.929634,blues
0.23339812,1247.3550297102443,1908.092151732952,2620.1894667198376,0.03690734060808198,-200.1993,116.36308,18.04737,25.263575,0.31005445,24.177252,-22.223515,11.183534,-26.846264,-7.6373806,-24.856096,-12.012267,-17.015976,-8.11307,-11.953768,-12.621813,-14.193202,-8.207759,-15.015007,-10.3068495,blues
0.24863409,1188.3081417864566,1682.8353076545034,2339.291912884281,0.048163866130123745,-328.5607,102.728516,19.836584,26.706013,7.145409,22.727982,-6.951727,12.816983,-10.727913,-0.42469418,-12.378796,-8.898336,-9.208457,-9.089533,-8.994875,-7.6578836,-7.2112923,-9.397146,-4.47567,-3.6794353,blues
